Field,Dataset,Product,Obj__Id,Time,Duration_s,Area_Count,Elevation_,Swth_Wdth_,Y_Offset_f,Yld_Mass_W,Yld_Vol_Dr,Moisture__,Pass_Num,Track_deg_,Distance_f,Crop_Flw_M,Crop_Flw_V,Yld_Mass_D,Yld_Vol_We,Speed_mph_,Prod_ac_h_,Date,geometry,CRS
FENDT,L1: (ISO_ADAPT),NO Product,1.0,2024-09-26,0.917,On,3151.0925,37.5,-1.25,869.32,17.4152,3.3,3.0,1.7977,2.152,1.7563,121.589,869.32,16.7177,1.6001,7.2731,2024-09-26,POINT (-114.26116979999999 51.883647499999995),EPSG:4326
FENDT,L1: (ISO_ADAPT),NO Product,2.0,2024-09-26,1.092,On,3151.0794,37.5,-1.25,974.5312,19.5229,3.3,3.0,1.9917,2.59,1.9898,137.7565,974.5312,18.741,1.6171,7.3505,2024-09-26,POINT (-114.2611694 51.8836546),EPSG:4326
FENDT,L1: (ISO_ADAPT),NO Product,3.0,2024-09-26,1.213,On,3151.0728,37.5,-1.25,1791.313,35.8282,3.3,3.0,1.36,2.8444,3.6162,250.3489,1791.313,34.4483,1.5988,7.2674,2024-09-26,POINT (-114.26116909999999 51.8836624),EPSG:4326
FENDT,L1: (ISO_ADAPT),NO Product,4.0,2024-09-26,1.02,On,3151.0531,37.5,-1.25,2064.0486,41.2722,3.3,3.0,1.1051,2.3337,4.0654,281.4483,2064.0486,39.6932,1.5599,7.0906,2024-09-26,POINT (-114.2611689 51.883668799999995),EPSG:4326
FENDT,L1: (ISO_ADAPT),NO Product,5.0,2024-09-26,1.211,On,3151.0335,37.5,-1.25,1705.7641,34.1076,3.3,3.0,0.4313,2.9895,3.6251,250.9684,1705.7641,32.8032,1.6832,7.6507,2024-09-26,POINT (-114.2611688 51.883677),EPSG:4326
FENDT,L1: (ISO_ADAPT),NO Product,6.0,2024-09-26,0.9,On,3151.0367,37.5,-1.25,1714.1149,34.2669,3.3,3.0,359.3327,1.9323,3.1683,219.3415,1714.1149,32.9637,1.4639,6.654,2024-09-26,POINT (-114.2611689 51.8836823),EPSG:4326
FENDT,L1: (ISO_ADAPT),NO Product,7.0,2024-09-26,0.9,On,3151.0564,37.5,-1.25,1729.853,34.567,3.3,3.0,359.3199,1.8959,3.137,217.1794,1729.853,33.2664,1.4363,6.5285,2024-09-26,POINT (-114.261169 51.8836875),EPSG:4326
FENDT,L1: (ISO_ADAPT),NO Product,8.0,2024-09-26,0.818,On,3151.0564,37.5,-1.25,1685.6802,33.6876,3.3264,3.0,359.1963,1.6043,2.846,197.0314,1685.6802,32.4169,1.3372,6.078,2024-09-26,POINT (-114.26116909999999 51.883691899999995),EPSG:4326
FENDT,L1: (ISO_ADAPT),NO Product,9.0,2024-09-26,1.299,On,3151.1056,37.5,-1.25,1562.5688,31.2366,3.4,3.0,359.0312,2.6617,2.7563,190.824,1562.5688,30.0494,1.3971,6.3503,2024-09-26,POINT (-114.26116929999999 51.883699199999995),EPSG:4326
FENDT,L1: (ISO_ADAPT),NO Product,10.0,2024-09-26,1.113,On,3151.1286,37.5,-1.25,1548.5301,30.952,3.4,3.0,359.4296,2.2604,2.7074,187.4372,1548.5301,29.7794,1.3847,6.2942,2024-09-26,POINT (-114.2611694 51.8837054),EPSG:4326
