,geometry,yield,CRS
65,POINT (-114.261173 51.8839408),41.9014,EPSG:4326
66,POINT (-114.2611728 51.8839525),42.2613,EPSG:4326
67,POINT (-114.2611726 51.883963099999995),38.3001,EPSG:4326
68,POINT (-114.26117239999999 51.8839761),33.6483,EPSG:4326
69,POINT (-114.26117239999999 51.883986699999994),39.2247,EPSG:4326
70,POINT (-114.26117219999999 51.8840009),46.051,EPSG:4326
71,POINT (-114.2611719 51.884015),41.6871,EPSG:4326
72,POINT (-114.26117169999999 51.8840266),41.6871,EPSG:4326
73,POINT (-114.2611714 51.884039599999994),38.0122,EPSG:4326
74,POINT (-114.26117079999999 51.884051299999996),38.0122,EPSG:4326
75,POINT (-114.2611701 51.8840654),46.2058,EPSG:4326
76,POINT (-114.26116959999999 51.8840785),47.9168,EPSG:4326
77,POINT (-114.26116929999999 51.8840903),46.9698,EPSG:4326
78,POINT (-114.26116909999999 51.8841008),46.1332,EPSG:4326
79,POINT (-114.2611689 51.884113799999994),43.5246,EPSG:4326
80,POINT (-114.2611688 51.884124299999996),42.0935,EPSG:4326
81,POINT (-114.2611687 51.884136),39.0458,EPSG:4326
82,POINT (-114.2611689 51.8841466),39.0458,EPSG:4326
83,POINT (-114.26116909999999 51.884156),41.2277,EPSG:4326
84,POINT (-114.26116959999999 51.88417),41.2277,EPSG:4326
85,POINT (-114.26116999999999 51.8841805),49.4963,EPSG:4326
86,POINT (-114.2611704 51.884191099999995),49.4963,EPSG:4326
87,POINT (-114.26117079999999 51.8842028),49.1773,EPSG:4326
88,POINT (-114.2611711 51.8842146),49.0369,EPSG:4326
89,POINT (-114.26117169999999 51.8842262),49.2748,EPSG:4326
90,POINT (-114.2611726 51.8842368),49.3814,EPSG:4326
91,POINT (-114.26117359999999 51.8842487),44.9605,EPSG:4326
92,POINT (-114.2611744 51.884259),43.8691,EPSG:4326
93,POINT (-114.26117509999999 51.8842706),44.3414,EPSG:4326
94,POINT (-114.26117579999999 51.8842821),44.5581,EPSG:4326
95,POINT (-114.26117599999999 51.8842936),45.8738,EPSG:4326
96,POINT (-114.2611761 51.8843051),48.4627,EPSG:4326
97,POINT (-114.2611761 51.8843156),49.4111,EPSG:4326
98,POINT (-114.2611761 51.8843295),50.415,EPSG:4326
99,POINT (-114.2611762 51.8843387),51.4774,EPSG:4326
100,POINT (-114.26117599999999 51.8843515),52.597,EPSG:4326
101,POINT (-114.26117579999999 51.884361899999995),52.4795,EPSG:4326
102,POINT (-114.2611756 51.8843688),52.2524,EPSG:4326
103,POINT (-114.2611749 51.884384999999995),52.7431,EPSG:4326
104,POINT (-114.26117459999999 51.884394199999996),54.3196,EPSG:4326
105,POINT (-114.2611742 51.884406899999995),54.5455,EPSG:4326
106,POINT (-114.26117389999999 51.884417299999996),55.468,EPSG:4326
107,POINT (-114.2611738 51.884429999999995),55.3001,EPSG:4326
108,POINT (-114.2611737 51.8844405),55.0086,EPSG:4326
109,POINT (-114.2611737 51.8844511),55.0086,EPSG:4326
112,POINT (-114.26117339999999 51.8844788),46.0646,EPSG:4326
113,POINT (-114.2611732 51.884495099999995),42.3761,EPSG:4326
114,POINT (-114.2611733 51.884507899999996),40.6535,EPSG:4326
115,POINT (-114.26117339999999 51.8845184),40.6535,EPSG:4326
116,POINT (-114.2611735 51.8845299),43.1047,EPSG:4326
117,POINT (-114.2611738 51.8845415),43.7542,EPSG:4326
118,POINT (-114.2611742 51.8845543),46.8549,EPSG:4326
119,POINT (-114.26117459999999 51.8845672),46.8549,EPSG:4326
120,POINT (-114.261175 51.8845764),47.4291,EPSG:4326
121,POINT (-114.2611757 51.8845892),47.4291,EPSG:4326
122,POINT (-114.26117629999999 51.884599699999995),44.3615,EPSG:4326
123,POINT (-114.2611769 51.884612399999995),43.5246,EPSG:4326
126,POINT (-114.2611785 51.8846449),35.5099,EPSG:4326
127,POINT (-114.26117889999999 51.8846543),42.7207,EPSG:4326
128,POINT (-114.2611793 51.8846705),46.0858,EPSG:4326
129,POINT (-114.26117939999999 51.8846797),48.0033,EPSG:4326
130,POINT (-114.2611793 51.884691399999994),46.4964,EPSG:4326
131,POINT (-114.26117909999999 51.884702999999995),45.4768,EPSG:4326
