,geometry,yield,CRS
24,POINT (-97.41565971329099 50.03399859275688),34.21617477,EPSG:4326
25,POINT (-97.41568738429145 50.033986495256485),36.94871438,EPSG:4326
36,POINT (-97.41594188672488 50.034047009587574),43.18486881,EPSG:4326
37,POINT (-97.41591852272492 50.03406364208778),42.54667476,EPSG:4326
41,POINT (-97.41581975522477 50.03412716058464),36.19522666,EPSG:4326
42,POINT (-97.41579388522517 50.03414111858332),38.22497188,EPSG:4326
43,POINT (-97.4157665437259 50.034155000582),39.92836156,EPSG:4326
50,POINT (-97.4155583754582 50.034245769641664),34.86078319,EPSG:4326
53,POINT (-97.41547217446585 50.03427649263757),33.0516561,EPSG:4326
73,POINT (-97.41579642732329 50.03429232214989),42.6009638,EPSG:4326
74,POINT (-97.41581511093807 50.03429139619504),48.66291754,EPSG:4326
75,POINT (-97.41583590467641 50.034291561197335),50.44864516,EPSG:4326
76,POINT (-97.41585558909088 50.03429141964607),50.91049429,EPSG:4326
77,POINT (-97.41587655053831 50.03429090437389),48.16102937,EPSG:4326
78,POINT (-97.41590206463508 50.034290815900796),39.18439982,EPSG:4326
79,POINT (-97.41592432854013 50.03429111317257),49.99561352,EPSG:4326
80,POINT (-97.41594867925394 50.03429039715338),44.51613013,EPSG:4326
81,POINT (-97.41597238617855 50.034290276081975),52.47647065,EPSG:4326
82,POINT (-97.41599561327952 50.0342895491524),51.24474071,EPSG:4326
83,POINT (-97.4160188614178 50.034289876354904),52.15739868,EPSG:4326
84,POINT (-97.41604198184847 50.034290015361826),48.28395317,EPSG:4326
85,POINT (-97.41606470053661 50.034290142954),52.53018426,EPSG:4326
86,POINT (-97.41608714393375 50.03429018788823),50.48838307,EPSG:4326
87,POINT (-97.41610841713485 50.03429020886646),50.79261234,EPSG:4326
88,POINT (-97.41612480604773 50.034289715348635),68.22406872,EPSG:4326
89,POINT (-97.4161427341262 50.034289657596176),65.54900533,EPSG:4326
90,POINT (-97.41616180671163 50.0342896156368),64.68324202,EPSG:4326
91,POINT (-97.41618161545328 50.03428962404913),61.50418346,EPSG:4326
92,POINT (-97.4162016913914 50.0342895178824),62.38415368,EPSG:4326
93,POINT (-97.41622224117239 50.03428972714715),62.65511111,EPSG:4326
94,POINT (-97.41624203206514 50.03428893722978),61.78866325,EPSG:4326
95,POINT (-97.41626230967752 50.03428887858199),59.75168047,EPSG:4326
96,POINT (-97.41628337817669 50.03428797808203),57.606422,EPSG:4326
97,POINT (-97.41630409517757 50.034287530082),59.3841669,EPSG:4326
98,POINT (-97.41632445567944 50.03428729908195),60.9293767,EPSG:4326
99,POINT (-97.4163449716802 50.03428721208193),65.55427725,EPSG:4326
100,POINT (-97.41636578318113 50.034287187081915),57.84042095,EPSG:4326
101,POINT (-97.41638601468048 50.034286886581924),64.85820687,EPSG:4326
102,POINT (-97.41640619967794 50.034285973581966),64.5046625,EPSG:4326
103,POINT (-97.41642658617634 50.034285127582045),64.19336993,EPSG:4326
104,POINT (-97.41644797267853 50.03428492308197),60.61751817,EPSG:4326
105,POINT (-97.4164692896038 50.03428444981603),62.0528726,EPSG:4326
106,POINT (-97.41649061610332 50.03428379331605),60.19406577,EPSG:4326
107,POINT (-97.41651267410344 50.03428327181604),61.66794199,EPSG:4326
108,POINT (-97.41653515060622 50.034283284315975),58.51315173,EPSG:4326
109,POINT (-97.41655773110861 50.03428362731595),60.47663159,EPSG:4326
110,POINT (-97.4165808546105 50.03428418131597),54.61744406,EPSG:4326
111,POINT (-97.41660489361044 50.03428442081598),55.43202291,EPSG:4326
112,POINT (-97.41662786061043 50.034284688815994),58.95005785,EPSG:4326
113,POINT (-97.41665024011026 50.03428473131597),61.11055016,EPSG:4326
114,POINT (-97.41667215360786 50.03428432381596),60.42895502,EPSG:4326
115,POINT (-97.4166939871039 50.034283270816026),63.31371829,EPSG:4326
116,POINT (-97.41671586810187 50.0342821983161),63.1113878,EPSG:4326
117,POINT (-97.41673762410387 50.034281826316025),68.00918582,EPSG:4326
118,POINT (-97.41675961610534 50.03428161181601),66.46608005,EPSG:4326
119,POINT (-97.41678169210434 50.034281063816024),69.64467789,EPSG:4326
120,POINT (-97.41680384110803 50.03428136781598),65.87915408,EPSG:4326
121,POINT (-97.41682696661408 50.03428279081609),63.9422845,EPSG:4326
122,POINT (-97.41685091311547 50.034283806816106),61.88634895,EPSG:4326
123,POINT (-97.41687485511856 50.03428547031624),60.66821865,EPSG:4326
124,POINT (-97.41689885089342 50.03428654035377),61.83295578,EPSG:4326
125,POINT (-97.41692272882999 50.034286764613704),59.05167068,EPSG:4326
126,POINT (-97.41694740440063 50.034286640998275),55.51737048,EPSG:4326
127,POINT (-97.41697227482622 50.034287232473545),58.2499968,EPSG:4326
128,POINT (-97.41699691837702 50.03428693429813),61.8515188,EPSG:4326
129,POINT (-97.41702074190725 50.03428749940978),61.48562995,EPSG:4326
130,POINT (-97.41704436436044 50.03428704089614),63.28426167,EPSG:4326
131,POINT (-97.41706790198494 50.0342870435484),60.39627944,EPSG:4326
132,POINT (-97.4170907317653 50.03428707499943),63.02914094,EPSG:4326
133,POINT (-97.41711333111746 50.0342869705494),63.26767991,EPSG:4326
134,POINT (-97.41713412153933 50.034286725421744),71.39371487,EPSG:4326
135,POINT (-97.41715473482105 50.03428698493708),71.0034585,EPSG:4326
136,POINT (-97.41717541514332 50.03428645937183),73.97536596,EPSG:4326
137,POINT (-97.41719601862246 50.034286050379585),71.81491991,EPSG:4326
138,POINT (-97.41721812844439 50.03428612284658),67.95648384,EPSG:4326
139,POINT (-97.41724071040878 50.0342855474227),63.36695168,EPSG:4326
140,POINT (-97.41726320323508 50.034284806529094),63.14475161,EPSG:4326
141,POINT (-97.41728587558403 50.03428500730632),58.81804695,EPSG:4326
142,POINT (-97.41730859184545 50.03428462677177),62.34282533,EPSG:4326
143,POINT (-97.41733178173786 50.034284314753755),58.53210623,EPSG:4326
144,POINT (-97.41735498656358 50.03428376276774),59.72202865,EPSG:4326
145,POINT (-97.41737738591169 50.034284047680124),58.66312904,EPSG:4326
146,POINT (-97.41739950141262 50.03428381068012),59.80432861,EPSG:4326
147,POINT (-97.4174215469131 50.0342835971801),58.78791992,EPSG:4326
148,POINT (-97.41744345991344 50.03428338518012),62.63538719,EPSG:4326
149,POINT (-97.41746448891236 50.034282942180134),64.21897805,EPSG:4326
150,POINT (-97.41748503641128 50.034282336180134),66.85885665,EPSG:4326
151,POINT (-97.41750499241103 50.03428176168014),69.59055245,EPSG:4326
152,POINT (-97.4175256464109 50.03428120218017),66.62021327,EPSG:4326
153,POINT (-97.41754579591098 50.034280724680166),68.77590294,EPSG:4326
154,POINT (-97.41756660191095 50.03428017368017),68.47007124,EPSG:4326
155,POINT (-97.4175883209109 50.034279657180164),62.9587162,EPSG:4326
156,POINT (-97.41761081441088 50.034279091680155),59.54948694,EPSG:4326
157,POINT (-97.41763399641083 50.034278462180175),54.34117113,EPSG:4326
158,POINT (-97.41765835441042 50.03427777068016),53.60350183,EPSG:4326
159,POINT (-97.41768353490991 50.03427699268018),60.52215719,EPSG:4326
160,POINT (-97.41770887590826 50.034275848180265),63.35080871,EPSG:4326
161,POINT (-97.41773492690812 50.03427480218025),56.68302315,EPSG:4326
162,POINT (-97.41776141740463 50.034272786180445),52.03652714,EPSG:4326
163,POINT (-97.41778811140185 50.034270436180634),49.35305065,EPSG:4326
164,POINT (-97.41781528040336 50.03426878768052),48.80243027,EPSG:4326
165,POINT (-97.41784257844307 50.034267720261276),45.95350286,EPSG:4326
166,POINT (-97.41787001444564 50.034267075761164),46.99831693,EPSG:4326
167,POINT (-97.41789801044332 50.03426548426126),47.94053879,EPSG:4326
168,POINT (-97.4179273544454 50.03426469876118),48.35672009,EPSG:4326
169,POINT (-97.41795949045249 50.034265381261044),42.52440056,EPSG:4326
170,POINT (-97.41799351295393 50.03426583026104),40.17506356,EPSG:4326
171,POINT (-97.41802399495499 50.03426629876105),43.97950501,EPSG:4326
172,POINT (-97.41804586245851 50.03426740576115),60.74405103,EPSG:4326
173,POINT (-97.41806892995828 50.03426810226114),56.69631982,EPSG:4326
174,POINT (-97.41809136195738 50.03426853776111),58.16127696,EPSG:4326
175,POINT (-97.41811435095711 50.03426899226109),54.5640907,EPSG:4326
176,POINT (-97.41813725145647 50.034269389261105),55.57557225,EPSG:4326
177,POINT (-97.41816039045783 50.034270108761106),56.4922753,EPSG:4326
178,POINT (-97.41818376295888 50.03427092126116),56.8990433,EPSG:4326
179,POINT (-97.418206652458 50.03427141226114),57.56920188,EPSG:4326
180,POINT (-97.41822898245726 50.0342718062611),59.14438242,EPSG:4326
181,POINT (-97.41825131095639 50.034272051261084),61.12105096,EPSG:4326
182,POINT (-97.41827355795566 50.03427223876109),60.34411747,EPSG:4326
183,POINT (-97.41829580595484 50.034272347261094),58.37042928,EPSG:4326
184,POINT (-97.4183181534539 50.03427227776109),57.72543861,EPSG:4326
185,POINT (-97.41834052495307 50.034272087261066),57.27989935,EPSG:4326
186,POINT (-97.418362900452 50.03427184326106),55.65416184,EPSG:4326
187,POINT (-97.41838537445115 50.03427148826108),55.59730588,EPSG:4326
188,POINT (-97.41840769945104 50.03427120826107),58.32674193,EPSG:4326
189,POINT (-97.41843007545187 50.03427115976107),60.02087672,EPSG:4326
190,POINT (-97.41845237695217 50.03427111176105),60.23704301,EPSG:4326
191,POINT (-97.41847472695252 50.03427116126106),59.27862553,EPSG:4326
192,POINT (-97.41849723995277 50.034271170261086),57.79376893,EPSG:4326
193,POINT (-97.41851972695054 50.03427069626108),61.34915657,EPSG:4326
194,POINT (-97.41854118744781 50.03426981926114),63.03686699,EPSG:4326
195,POINT (-97.41856380032405 50.03426842182794),57.85387562,EPSG:4326
196,POINT (-97.41858580731893 50.03426618182823),57.60591656,EPSG:4326
197,POINT (-97.41860763481381 50.03426335932867),60.13962937,EPSG:4326
198,POINT (-97.41862931080873 50.03425990982925),59.90180707,EPSG:4326
199,POINT (-97.41865059730364 50.03425574883003),57.81167405,EPSG:4326
200,POINT (-97.41867167229856 50.034250946330964),53.61043999,EPSG:4326
201,POINT (-97.4186920402925 50.034245129832435),51.01089574,EPSG:4326
202,POINT (-97.41871118178494 50.034237806834874),50.91691855,EPSG:4326
203,POINT (-97.41872918027848 50.03422911783794),52.44483976,EPSG:4326
204,POINT (-97.41874634727473 50.03422008034049),52.82661937,EPSG:4326
205,POINT (-97.41876254127234 50.034210412843066),52.79652372,EPSG:4326
206,POINT (-97.41877829427129 50.03420043984495),53.98805453,EPSG:4326
207,POINT (-97.41879330177085 50.03419006884678),54.89964523,EPSG:4326
208,POINT (-97.4188070022711 50.0341789098493),51.64279092,EPSG:4326
209,POINT (-97.41881713527403 50.0341665763537),51.62307128,EPSG:4326
210,POINT (-97.41882530927906 50.03415402485726),49.28420679,EPSG:4326
211,POINT (-97.41883312328359 50.03414142385941),46.7974257,EPSG:4326
212,POINT (-97.41883969428902 50.0341284203614),45.91197658,EPSG:4326
213,POINT (-97.41884487629525 50.03411497136313),45.2854162,EPSG:4326
214,POINT (-97.41884875080191 50.034101393364516),45.87986809,EPSG:4326
215,POINT (-97.41885147030884 50.034087517865615),46.13873416,EPSG:4326
216,POINT (-97.41885388431382 50.034072708366175),43.98274728,EPSG:4326
217,POINT (-97.41885641231615 50.03405778586639),44.40717575,EPSG:4326
218,POINT (-97.41885762089738 50.034042830407486),47.15969678,EPSG:4326
219,POINT (-97.41885738514891 50.034028167819905),52.35423067,EPSG:4326
220,POINT (-97.41885763935056 50.03401359407645),55.00808805,EPSG:4326
221,POINT (-97.41885747738668 50.03399939772135),59.79257186,EPSG:4326
222,POINT (-97.41885742865058 50.033985058715835),61.01277583,EPSG:4326
