,geometry,yield,CRS
70,POINT (-97.43236404908818 50.045550183808096),80.6828479,EPSG:4326
71,POINT (-97.43236488208818 50.045532515808105),83.64620564,EPSG:4326
72,POINT (-97.4323657890882 50.04551502880811),84.05984415,EPSG:4326
73,POINT (-97.43236620508817 50.0454974278081),83.97629896,EPSG:4326
74,POINT (-97.4323672780882 50.04547978580809),88.6446787,EPSG:4326
75,POINT (-97.43237143308818 50.045461908808065),87.08955731,EPSG:4326
76,POINT (-97.43237762508821 50.04544428080807),89.85116104,EPSG:4326
77,POINT (-97.4323847010882 50.045427102808056),92.04891265,EPSG:4326
78,POINT (-97.4323957730882 50.04541027480807),93.40815791,EPSG:4326
79,POINT (-97.43240687408822 50.045393844808046),103.41321929,EPSG:4326
80,POINT (-97.43241942908823 50.04537799780805),99.20640832,EPSG:4326
81,POINT (-97.43243256308823 50.04536218580804),106.63460792,EPSG:4326
86,POINT (-97.43251696308825 50.045291261808025),112.41460098,EPSG:4326
87,POINT (-97.43253796208825 50.045279464808026),110.74132672,EPSG:4326
127,POINT (-97.43362842008858 50.04522123680802),82.78748087,EPSG:4326
128,POINT (-97.43365575808858 50.04522191480802),87.68741503,EPSG:4326
129,POINT (-97.4336830460886 50.04522151480801),86.20643454,EPSG:4326
130,POINT (-97.4337105580886 50.045222287808016),84.33750417,EPSG:4326
131,POINT (-97.43373767008862 50.04522228480801),87.42013795,EPSG:4326
132,POINT (-97.43376515008859 50.045222731808025),75.47356552,EPSG:4326
133,POINT (-97.43379384708864 50.04522259780801),71.46918805,EPSG:4326
141,POINT (-97.43403934208868 50.04522178380801),69.32387678,EPSG:4326
142,POINT (-97.4340701710887 50.04522172980803),70.65614778,EPSG:4326
149,POINT (-97.43428473408876 50.04521283080803),74.78879339,EPSG:4326
150,POINT (-97.43431536108879 50.04521072780802),75.39518901,EPSG:4326
151,POINT (-97.43434601108879 50.045208474808014),75.05830256,EPSG:4326
152,POINT (-97.43437704108881 50.045207189808025),69.44412342,EPSG:4326
153,POINT (-97.43440757308879 50.045204654808025),65.69285906,EPSG:4326
154,POINT (-97.4344384840888 50.045202937808014),67.60588968,EPSG:4326
165,POINT (-97.43477771808894 50.04519604580802),66.16202696,EPSG:4326
166,POINT (-97.43480854908893 50.045197013808014),68.9971207,EPSG:4326
167,POINT (-97.43484007508899 50.04519816880803),70.11050254,EPSG:4326
168,POINT (-97.43487266608895 50.045198414808006),66.97018112,EPSG:4326
169,POINT (-97.43490484708897 50.04519848780802),73.54220479,EPSG:4326
170,POINT (-97.43493760508896 50.045198839808016),77.75481977,EPSG:4326
171,POINT (-97.43497016308896 50.04519881680803),77.92645812,EPSG:4326
172,POINT (-97.435002922089 50.04519899880804),86.19312115,EPSG:4326
173,POINT (-97.435035745089 50.04519899580802),80.79366146,EPSG:4326
174,POINT (-97.435068485089 50.04519935880802),82.67545265,EPSG:4326
175,POINT (-97.43510140108901 50.045200827808024),85.13055992,EPSG:4326
176,POINT (-97.43513423708904 50.04520312980801),89.55082403,EPSG:4326
177,POINT (-97.43516677108903 50.04520682180803),92.96058178,EPSG:4326
178,POINT (-97.43519908108905 50.04521118280803),92.34414855,EPSG:4326
179,POINT (-97.43523103508903 50.045216768808025),90.04332192,EPSG:4326
180,POINT (-97.43526223408907 50.04522423780803),89.62378146,EPSG:4326
181,POINT (-97.43529257008905 50.04523253880804),87.68602517,EPSG:4326
182,POINT (-97.43532153808907 50.04524274980804),91.19168291,EPSG:4326
183,POINT (-97.43534965908906 50.045254230808055),89.96189669,EPSG:4326
184,POINT (-97.43537822908908 50.04526342180805),91.49012156,EPSG:4326
185,POINT (-97.4354078370891 50.045272078808054),95.02933869,EPSG:4326
186,POINT (-97.4354378750891 50.045278991808054),88.80659575,EPSG:4326
187,POINT (-97.43546913308913 50.04528407280805),93.10150546,EPSG:4326
188,POINT (-97.43550083708914 50.045287101808064),101.64679487,EPSG:4326
189,POINT (-97.43553296908914 50.04528943580806),94.9715405,EPSG:4326
190,POINT (-97.43556506108916 50.045290153808075),83.57722443,EPSG:4326
191,POINT (-97.43559753208918 50.045290934808044),83.10548353,EPSG:4326
192,POINT (-97.43563002508917 50.04529062080805),96.97381809,EPSG:4326
193,POINT (-97.43566252608917 50.04528984480806),93.13038451,EPSG:4326
194,POINT (-97.43569499808919 50.04528832580806),93.8209919,EPSG:4326
195,POINT (-97.43572781508924 50.04528707880806),95.74640648,EPSG:4326
196,POINT (-97.4357601840892 50.04528546380805),99.20277934,EPSG:4326
197,POINT (-97.43579237708921 50.045282949808026),100.93707554,EPSG:4326
198,POINT (-97.43582465708924 50.045280272808064),103.9840324,EPSG:4326
199,POINT (-97.43585572508925 50.04527540180805),106.89132538,EPSG:4326
200,POINT (-97.43588138308925 50.045270108808054),115.95865467,EPSG:4326
201,POINT (-97.43590575908928 50.045263298808045),117.53539392,EPSG:4326
202,POINT (-97.43592895608927 50.04525406280805),119.89399698,EPSG:4326
203,POINT (-97.43595013108924 50.04524335280806),114.31938832,EPSG:4326
204,POINT (-97.43597069308929 50.045232123808034),114.1845141,EPSG:4326
205,POINT (-97.43598903108928 50.04521878980804),114.99228302,EPSG:4326
206,POINT (-97.4360053740893 50.04520447380803),108.29506323,EPSG:4326
207,POINT (-97.43601869908929 50.04518878080804),104.19830249,EPSG:4326
208,POINT (-97.43603230208929 50.04517299680802),92.66225842,EPSG:4326
209,POINT (-97.4360438990893 50.045156701808004),96.56658889,EPSG:4326
210,POINT (-97.43605403108928 50.04513994980802),95.93621286,EPSG:4326
211,POINT (-97.4360611540893 50.04512289280802),103.6959703,EPSG:4326
212,POINT (-97.43606662808932 50.045104870808),100.69446357,EPSG:4326
213,POINT (-97.43607047008932 50.045086581808),105.57336204,EPSG:4326
214,POINT (-97.43607305708932 50.04506820680798),105.22931493,EPSG:4326
215,POINT (-97.43607465508931 50.045049613807976),112.50825539,EPSG:4326
216,POINT (-97.4360752470893 50.045031048807964),106.65178313,EPSG:4326
217,POINT (-97.43607608508933 50.045012411807974),118.47337248,EPSG:4326
218,POINT (-97.43607609408932 50.04499371780796),116.34888739,EPSG:4326
219,POINT (-97.43607707808933 50.04497482980799),115.19713467,EPSG:4326
220,POINT (-97.4360775180893 50.04495618680795),115.54296938,EPSG:4326
221,POINT (-97.4360777900893 50.04493754580795),117.2634051,EPSG:4326
222,POINT (-97.43607796108935 50.044918732807965),121.46735042,EPSG:4326
223,POINT (-97.4360774090893 50.04490015980795),134.38079147,EPSG:4326
224,POINT (-97.43607640908931 50.044881482807945),126.18057732,EPSG:4326
225,POINT (-97.4360747570893 50.044862865807936),125.96902296,EPSG:4326
226,POINT (-97.43607318308932 50.04484419180793),119.60201922,EPSG:4326
227,POINT (-97.43607140108934 50.044825571807934),113.66019423,EPSG:4326
228,POINT (-97.4360696730893 50.04480693380792),116.18894521,EPSG:4326
229,POINT (-97.43606788108931 50.04478837080793),117.33576941,EPSG:4326
230,POINT (-97.43606614608932 50.04476958980791),118.47988074,EPSG:4326
231,POINT (-97.4360645590893 50.0447508098079),115.11632349,EPSG:4326
232,POINT (-97.43606298808933 50.04473206480789),117.38196822,EPSG:4326
233,POINT (-97.43606224608932 50.04471326580791),121.22713045,EPSG:4326
234,POINT (-97.43606181208933 50.04469442280791),117.8738731,EPSG:4326
235,POINT (-97.43606168208932 50.04467573380791),118.05941221,EPSG:4326
236,POINT (-97.43606101208931 50.044656956807906),128.51000298,EPSG:4326
237,POINT (-97.43606070408931 50.04463831580788),120.2075939,EPSG:4326
238,POINT (-97.43606034808933 50.044619493807886),128.97552345,EPSG:4326
239,POINT (-97.43606060308935 50.04460070980786),130.61207015,EPSG:4326
