,geometry,yield,CRS
31,POINT (-81.88705150000001 42.73412779999998),182.327,EPSG:4326
32,POINT (-81.8870523 42.734138599999994),198.7668,EPSG:4326
33,POINT (-81.88705279999999 42.73414979999998),187.5608,EPSG:4326
34,POINT (-81.8870537 42.73416139999998),181.1195,EPSG:4326
37,POINT (-81.88705530000001 42.734196999999995),167.4955,EPSG:4326
41,POINT (-81.88705620000002 42.7342256),163.0997,EPSG:4326
42,POINT (-81.88705720000002 42.734237699999994),170.7706,EPSG:4326
45,POINT (-81.88705960000001 42.73427909999998),163.5455,EPSG:4326
46,POINT (-81.8870603 42.7342927),151.4692,EPSG:4326
47,POINT (-81.8870612 42.734305999999975),149.3938,EPSG:4326
48,POINT (-81.8870618 42.73431679999999),153.4633,EPSG:4326
71,POINT (-81.88698049999999 42.734435399999995),168.905,EPSG:4326
85,POINT (-81.88690490000002 42.734582399999994),190.5633,EPSG:4326
86,POINT (-81.8868995 42.73459269999998),185.4605,EPSG:4326
103,POINT (-81.88686570000002 42.7346862),194.2816,EPSG:4326
110,POINT (-81.886864 42.73476769999999),221.3166,EPSG:4326
111,POINT (-81.8868641 42.73478109999999),210.4198,EPSG:4326
112,POINT (-81.88686440000001 42.734794299999976),216.1312,EPSG:4326
113,POINT (-81.88686470000002 42.73480759999998),203.3942,EPSG:4326
116,POINT (-81.8868649 42.734847),230.7105,EPSG:4326
117,POINT (-81.886865 42.73486009999999),223.4186,EPSG:4326
118,POINT (-81.88686530000001 42.73487319999998),229.6964,EPSG:4326
119,POINT (-81.8868654 42.7348863),231.9371,EPSG:4326
120,POINT (-81.8868656 42.73489939999999),235.6997,EPSG:4326
121,POINT (-81.88686570000002 42.7349126),256.1597,EPSG:4326
122,POINT (-81.886866 42.734925799999985),255.5391,EPSG:4326
123,POINT (-81.88686630000001 42.73493909999999),260.1113,EPSG:4326
124,POINT (-81.88686660000002 42.73495219999998),254.7244,EPSG:4326
125,POINT (-81.8868668 42.73496539999999),258.0144,EPSG:4326
